## v35: not actual changes,
##      just update defnitions to include latest two-letter codes
## v34: remove JG.3, FL.1.5.1, BQ.1
##      combine XBC.1.6+XBC, using XBC color
##      remove XBB.1.16, give its color to BA.2
##      give BA.2 color to KP.2.3 (over KP.2)
## v33: LB.1 instead of KZ.1.1.1; also add KP.3.1.1
## v32: JN.1.7 -> KP.2, JN.1.16-> KP.3, JN.1.18 -> XDQ, DV.7.1->KZ.1.1.1
## v31: new variants of JN.1 (JN.1.{7,16,18}), removed JF.1, FL.1.5.2, XBB.1.16.6
## v30: removed FK.1 and FD.1.1; replaced with JG.1 and FL.1.5.2
## v29x: added JN.1 (subset of BA.2.86)
## v29: added JD.1, moved GK (and JD.1) to be up near XBB.1.5
## v28: remove FY.3.1, XBB.1.42.2, GL.1, FE.1
##      add DB.7.1, GK, FE.1, JF.1
##      recolor Epsilon: cyan->green
## v27: big update is that the regex's are not generated automatically,
##      using info from lineage_notes.txt, using fix_lineage_table.py
##
## Note, regex patterns are fit starting from the bottom (last) lineage
##       so more specific lineages should come after more general ones
##
## Columns are: color, name, and regex pattern to match pangolin lineage
##

Black           Unassigned (None|Unassigned|)
ForestGreen	BA.2.75	((BA\.2\.75)|(B[LMNRY])|(C[ABHJV])|(D[SV])|(E[JP])|(F[JKRS])|(G[PQ])|(J[LPV])|(KG))(\..*)?

DarkRed	XBB	((XBB)|(E[GKLMU])|(F[DEGHLPTUWYZ])|(G[ABCDEFGHJKMNRSUVWYZ])|(H[ABCDEFGHJKLMNPQRSTUVYZ])|(J[ABCDEFGJKMRSUWYZ])|(K[ABCEFHJKLMNT]))(\..*)?
Salmon	XBB.1.9	((XBB\.1\.9)|(EG)|(FL)|(GD)|(H[KNV])|(J[GJR])|(K[BCFL]))(\..*)?
Crimson	XBB.1.5	((XBB\.1\.5)|(E[KLMU])|(F[DGHTZ])|(G[BCFGKNRUV])|(H[ACDJMPQRSTYZ])|(J[BDKZ])|(K[AKMN]))(\..*)?
Goldenrod	GK	GK(\..*)?
Brown	JD.1	((JD\.1)|(KK))(\..*)?
#LightSkyBlue	XBB.1.16	((XBB\.1\.16)|(FU)|(GY)|(HF)|(J[FM])|(KJ))(\..*)?
LimeGreen	CH.1	((CH\.1)|(DV)|(F[JKS])|(G[PQ])|(J[LPV])|(KG))(\..*)?
Khaki	BN.1	((BN\.1)|(DS)|(EJ)|(FR))(\..*)?
Purple	EG.5.1	((EG\.5\.1)|(H[KV])|(J[GJR])|(K[BL]))(\..*)?
Thistle	HK.3	HK\.3(\..*)?
Violet	HV.1	((HV\.1)|(KL))(\..*)?
##DarkOrange	FL.1.5.1	((FL\.1\.5\.1)|(HN))(\..*)?
##Cornsilk	JG.3	JG\.3(\..*)?
Aquamarine	XBB.2.3	((XBB\.2\.3)|(G[EJMSZ])|(H[GH])|(J[AESUY])|(K[HT]))(\..*)?
LightPink	XBC	((XBC)|(GT)|(HW)|(JT)|(KD))(\..*)?
#Magenta	XBC.1.6	((XBC\.1\.6)|(GT)|(HW)|(JT))(\..*)?
DodgerBlue	BA.2.86	((BA\.2\.86)|(J[NQ])|(K[PQRSUVWYZ])|(L[ABCDEFGHJKLMNPQRSTUVWYZ])|(M[ABCDEFGHJKLMNPQRSTUVWY]))(\..*)?
Cyan	JN.1	((JN\.1)|(K[PQRSUVWYZ])|(L[ABCDEFGHJKLMNPQRSTUWYZ])|(M[ABCDEFGHJKLMNQRSTUVWY]))(\..*)?
DarkBLue	KP.2	((KP\.2)|(MW))(\..*)?
RoyalBlue	KP.2.3	((KP\.2\.3)|(MW))(\..*)?
LightBlue	KP.3	((KP\.3)|(LW)|(M[CKLMRY]))(\..*)?

SlateBlue	KP.3.1.1	((KP\.3\.1\.1)|(MC))(\..*)?
Yellow	XDQ	XDQ(\..*)?
Coral	LB.1	((LB\.1)|(MH))(\..*)?



